 CategoryID ; Name                      ; Description                                                                 
1; Электроинструменты        ; Дрели, шуруповерты, перфораторы, болгарки                                   
2; Сантехника                ; Трубы, смесители, фитинги, раковины, унитазы                                
3; Ручные инструменты        ; Молотки, отвертки, плоскогубцы, ножовки                                     
4; Садовый инвентарь         ; Лопаты, грабли, газонокосилки, системы полива                               
5; Отделочные материалы      ; Штукатурка, шпаклевка, гипсокартон, плитка                                  
6; Кровельные материалы      ; Металлочерепица, шифер, гидроизоляция, водостоки                            
7; Окна и двери              ; Пластиковые и деревянные окна, входные и межкомнатные двери                 
8; Напольные покрытия        ; Ламинат, паркет, линолеум, ковролин                                         
9; Краски и лаки             ; Акриловые, масляные краски, грунтовки, морилки                              
10; Крепежные изделия         ; Гвозди, шурупы, дюбели, анкеры, саморезы                                    
11; Электрооборудование       ; Розетки, выключатели, кабели, автоматы защиты                               
12; Садовая техника           ; Триммеры, бензопилы, культиваторы, снегоуборщики                            
13; Изоляционные материалы    ; Утеплители, пенопласт, монтажная пена, герметики                            
14; Строительная химия        ; Клей для плитки, строительные смеси, пропитки для бетона                    
15; Лестницы и стремянки      ; Алюминиевые лестницы, строительные помосты                                  
16; Освещение                 ; Люстры, светильники, LED-ленты, уличные фонари                              
17; Инструменты для измерений ; Рулетки, уровни, лазерные дальномеры, угломеры                              
18; Безопасность и защита     ; Каски, перчатки, респираторы, защитные очки                                 
19; Бассейны и СПА-оборудование; Каркасные бассейны, насосы, фильтры, гидромассажные системы                
20; Вентиляция и кондиционирование; Вентиляторы, кондиционеры, воздуховоды, рекуператоры                   
21; Декоративные материалы    ; Лепнина, 3D-панели, декоративный камень, багеты                             
22; Системы хранения          ; Стеллажи, шкафы, полки, кронштейны                                          
23; Строительные леса         ; Передвижные леса, вышки-туры, комплектующие                                 
24; Инструменты для сантехники; Труборезы, разводные ключи, пресс-клещи                                    
25; Спецодежда и обувь        ; Рабочие комбинезоны, защитная обувь, термобелье                             
